size,time,time_std,gflops,gflops_std
2,1.5683174133300782e-06,1.3274138476752988e-06,0.010593265275090132,0.0011836606425972794
4,1.5873908996582032e-06,2.8501103823391407e-07,0.08173889604070685,0.008173497089480543
8,1.6310214996337891e-06,3.0155181507759644e-07,0.6381247805858918,0.06991388647262876
16,2.20799446105957e-06,4.874991858489162e-07,3.815981040446789,0.5042290213748969
32,4.868030548095703e-06,7.669253834216117e-07,13.615131743402843,1.0623278705996506
64,1.809859275817871e-05,1.2595876922446102e-06,29.053041787617286,1.248976623690704
128,0.00011195063591003418,4.911254763045799e-06,37.52158104073266,1.2897211437388456
256,0.0007529916763305664,2.3129256361622182e-05,44.594455313582564,1.0809012600965393
512,0.005928608179092407,0.0004933159582428976,45.52430769229105,3.009211989663431
1024,0.045922894954681395,0.0025010191063759295,46.87862750680872,2.1473630616065504
2048,0.3588231203556061,0.010190363884548791,47.91455704953387,1.275616290262028
