exp_num,num_workers,batch_size,num_envs_per_worker,num_rollout_steps,minibatch_size,num_minibatches,total_steps,total_time,sps,experience_sps,experience_sps_std,learning_sps,learning_sps_std,setup_time,experience_collection_time,learning_time
0,1,128,1,128,16,8,2560,19.399813890457153,131,204,7,418,72,7.91935133934021,12.533281087875366,6.792602062225342
1,1,256,2,128,32,8,5120,24.024343013763428,213,313,15,683,58,6.4620583057403564,16.397589683532715,7.539900302886963
2,1,512,4,128,64,8,10240,34.594956398010254,295,389,17,1256,68,8.140280485153198,26.34628677368164,8.173965692520142
3,1,1024,8,128,128,8,20480,52.97650146484375,386,462,8,2386,35,9.9468994140625,44.318376541137695,8.584279537200928
4,1,2048,16,128,256,8,40960,89.8409833908081,455,505,8,4720,57,15.161719560623169,81.07352232933044,8.679044246673584
5,1,4096,32,128,512,8,81920,166.3329095840454,492,521,5,9079,123,25.111981868743896,157.1943759918213,9.023698568344116
6,1,8192,64,128,1024,8,163840,331.45147037506104,494,509,5,16910,264,45.05535364151001,321.6540701389313,9.690865755081177
7,1,16384,128,128,2048,8,327680,640.8744049072266,511,520,8,29160,418,83.22229242324829,629.5510857105255,11.23930311203003
8,1,32768,256,128,4096,8,655360,1259.1227436065674,520,527,8,39385,645,159.44748830795288,1242.3973951339722,16.644203186035156
