exp_num,network,num_workers,num_envs_per_worker,num_steps,total_steps,total_time,sps,setup_time,experience_collection_time,learning_time
0,small,1,1,32,8192,30.18428373336792,271,1.7696716785430908,11.241518020629883,18.94149398803711
1,small,1,1,64,8192,25.838874578475952,317,0.03949236869812012,10.600215196609497,15.23813796043396
2,small,1,1,128,8192,23.979588747024536,341,0.042001962661743164,9.97488808631897,14.004418849945068
3,small,1,1,256,8192,23.270457983016968,352,0.03607583045959473,9.681440591812134,13.588870763778687
4,small,1,2,32,8192,15.50921368598938,528,0.040944576263427734,6.69340443611145,8.815292835235596
5,small,1,2,64,8192,16.018499612808228,511,0.03652620315551758,7.367993593215942,8.650171756744385
6,small,1,2,128,8192,13.82262396812439,592,0.036199331283569336,6.608937978744507,7.213545083999634
7,small,1,2,256,8192,14.057433128356934,582,0.03682398796081543,6.749863624572754,7.307490825653076
8,small,1,3,32,8160,11.563232183456421,705,0.04265618324279785,5.5132317543029785,6.049628257751465
9,small,1,3,64,8064,10.272400379180908,785,0.039137840270996094,5.215174198150635,5.0570502281188965
10,small,1,3,128,8064,10.438307762145996,772,0.0357356071472168,5.598535060882568,4.839667558670044
11,small,1,3,256,7680,10.134400844573975,757,0.049207448959350586,5.406118631362915,4.728230953216553
12,small,1,4,32,8192,9.514779090881348,860,0.04438018798828125,4.915058374404907,4.599426746368408
13,small,1,4,64,8192,9.060563564300537,904,0.0364375114440918,4.877119302749634,4.183287858963013
14,small,1,4,128,8192,8.533300876617432,960,0.04319024085998535,4.857046604156494,3.6761722564697266
15,small,1,4,256,10240,9.828731536865234,1041,0.043187618255615234,5.401816368103027,4.426862001419067
16,small,1,8,32,8192,6.09401535987854,1344,0.037436485290527344,3.8362767696380615,2.2576029300689697
17,small,1,8,64,8192,5.801714658737183,1411,0.04279184341430664,3.757281541824341,2.044358730316162
18,small,1,8,128,10240,6.705870628356934,1527,0.03730201721191406,4.377462148666382,2.3283584117889404
19,small,1,8,256,20480,10.333348035812378,1981,0.04408121109008789,5.83906626701355,4.494230508804321
20,small,2,1,32,8192,21.163644790649414,387,0.08126401901245117,11.754427194595337,9.408605575561523
21,small,2,1,64,8192,18.905457258224487,433,0.08322381973266602,11.037304162979126,7.867854118347168
22,small,2,1,128,8192,16.246910095214844,504,0.07654714584350586,9.010913848876953,7.235848665237427
23,small,2,1,256,8192,15.82386827468872,517,0.08531475067138672,8.886775732040405,6.937015771865845
24,small,2,2,32,8192,11.018112897872925,743,0.07403898239135742,6.439148664474487,4.578674077987671
25,small,2,2,64,8192,10.958102941513062,747,0.07688641548156738,6.933020830154419,4.0249223709106445
26,small,2,2,128,8192,9.601351261138916,853,0.07772326469421387,6.034357309341431,3.56691837310791
27,small,2,2,256,10240,12.255544662475586,835,0.07610511779785156,7.783908128738403,4.471580743789673
28,small,2,3,32,8064,8.455523252487183,953,0.0753636360168457,5.517057657241821,2.938281774520874
29,small,2,3,64,8064,8.302221059799194,971,0.07981514930725098,5.632519960403442,2.66959285736084
30,small,2,3,128,7680,7.045583963394165,1090,0.08591413497924805,4.80374813079834,2.241786479949951
